City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vila Franca Do Campo,PT,2022-02-02 22:05:34,37.7167,-25.4333,58.19,79,22,8.84
68,Amga,RU,2022-02-02 22:05:34,60.8953,131.9608,-33.81,100,77,1.57
69,Saint-Georges,GD,2022-02-02 22:04:46,12.0564,-61.7485,78.71,75,1,14.9
70,Vallenar,CL,2022-02-02 22:05:35,-28.5708,-70.7581,78.15,38,0,8.32
71,Katsuura,JP,2022-02-02 22:03:28,35.1333,140.3,39.18,51,30,9.46
72,Bathsheba,BB,2022-02-02 22:05:35,13.2167,-59.5167,79.41,73,20,16.11
73,Lagoa,PT,2022-02-02 22:05:35,39.05,-27.9833,58.26,73,4,7.4
74,Saldanha,ZA,2022-02-02 22:05:35,-33.0117,17.9442,65.75,86,79,6.91
75,Cap-Aux-Meules,CA,2022-02-02 22:05:36,47.3821,-61.8597,30.4,86,79,23.17
76,Hithadhoo,MV,2022-02-02 22:05:36,-0.6,73.0833,81.75,70,57,5.53
77,Jiwani,PK,2022-02-02 22:05:36,25.05,61.7417,68.83,35,0,17.38
78,Kaitangata,NZ,2022-02-02 22:01:05,-46.2817,169.8464,54.36,95,100,4.99
79,La Rioja,ES,2022-02-02 22:05:37,42.25,-2.5,29.98,18,4,8.39
80,Puerto Ayora,EC,2022-02-02 22:02:29,-0.7393,-90.3518,77.56,89,37,7.0
81,Kahului,US,2022-02-02 22:00:55,20.8947,-156.47,79.86,72,0,7.0
82,Purificacion,CO,2022-02-02 22:05:37,3.8587,-74.9313,88.03,52,98,0.63
83,Lata,PT,2022-02-02 22:05:37,40.1629,-8.3327,51.93,73,95,2.26
84,Santa Cruz De Tenerife,ES,2022-02-02 22:02:41,28.4682,-16.2546,70.72,85,75,10.0
85,Maturin,VE,2022-02-02 22:05:38,9.75,-63.1767,83.16,54,70,11.99
86,Terrace,CA,2022-02-02 22:05:38,54.5163,-128.6035,19.31,93,100,11.5
87,Leshukonskoye,RU,2022-02-02 22:05:38,64.8989,45.7622,7.56,98,97,2.55
88,Tura,IN,2022-02-02 22:05:38,25.5198,90.2201,59.99,52,80,3.89
89,Farmington,US,2022-02-02 22:02:46,36.7281,-108.2187,36.77,44,20,13.8
90,Lamu,KE,2022-02-02 22:06:39,-2.2717,40.902,79.02,89,100,9.35
91,Tiksi,RU,2022-02-02 22:06:39,71.6872,128.8694,-5.22,97,100,6.58
92,Bethel,US,2022-02-02 22:02:47,41.3712,-73.414,41.83,100,100,1.14
93,Buguda,IN,2022-02-02 22:06:39,19.8167,84.8,64.85,94,5,1.32
94,Rikitea,PF,2022-02-02 22:06:40,-23.1203,-134.9692,78.46,73,100,7.78
95,Khatanga,RU,2022-02-02 22:02:28,71.9667,102.5,-36.9,98,47,1.25
96,Kavarna,BG,2022-02-02 22:06:40,43.4333,28.3333,35.35,95,100,7.45
97,Westport,US,2022-02-02 22:06:40,41.1415,-73.3579,43.09,92,0,4.0
98,Tasiilaq,GL,2022-02-02 22:06:40,65.6145,-37.6368,15.96,78,100,4.16
99,Awbari,LY,2022-02-02 22:06:41,26.5921,12.7805,45.72,34,0,9.22
100,Bambous Virieux,MU,2022-02-02 22:06:41,-20.3428,57.7575,79.21,90,100,32.01
101,Kodinsk,RU,2022-02-02 22:06:41,58.6881,99.1844,-4.29,100,100,2.89
102,Tranas,SE,2022-02-02 22:06:41,58.0372,14.9782,27.37,95,37,4.09
103,Rubtsovsk,RU,2022-02-02 22:06:42,51.5,81.25,-10.05,100,81,1.07
104,Otavi,NA,2022-02-02 22:06:42,-19.65,17.3333,68.76,36,26,3.85
105,Dingle,PH,2022-02-02 22:06:42,10.9995,122.6711,74.23,93,99,8.1
106,Hami,CN,2022-02-02 22:06:42,42.8,93.45,21.58,35,2,1.88
107,Sinjar,IQ,2022-02-02 22:06:43,36.3209,41.8754,45.61,58,100,4.92
108,Talnakh,RU,2022-02-02 22:06:43,69.4865,88.3972,-6.12,99,93,6.29
109,Vila Do Maio,CV,2022-02-02 22:06:43,15.1333,-23.2167,72.39,80,1,15.28
110,Chuy,UY,2022-02-02 22:06:43,-33.6971,-53.4616,74.48,74,0,13.22
111,Hilo,US,2022-02-02 22:06:44,19.7297,-155.09,80.33,67,75,6.91
112,Tutoia,BR,2022-02-02 22:06:44,-2.7619,-42.2744,82.38,78,100,10.98
113,Ponta Do Sol,PT,2022-02-02 22:06:44,32.6667,-17.1,67.01,79,100,6.08
114,Takoradi,GH,2022-02-02 22:06:45,4.8845,-1.7554,80.37,81,1,10.09
115,Wanning,CN,2022-02-02 22:06:45,18.8003,110.3967,63.05,93,66,10.92
116,East London,ZA,2022-02-02 22:04:36,-33.0153,27.9116,74.89,94,59,11.56
117,Great Yarmouth,GB,2022-02-02 22:06:45,52.6083,1.7305,48.24,94,100,9.24
118,Rio Grande,BR,2022-02-02 22:02:46,-32.035,-52.0986,75.15,80,0,18.43
119,Sankeshwar,IN,2022-02-02 22:06:45,16.2667,74.4833,65.82,52,2,5.17
120,Pogar,RU,2022-02-02 22:06:46,52.554,33.2591,24.37,96,100,8.75
121,Severo-Kurilsk,RU,2022-02-02 22:06:46,50.6789,156.125,27.99,79,98,6.62
122,Iqaluit,CA,2022-02-02 22:06:23,63.7506,-68.5145,7.7,78,100,11.01
123,Tual,ID,2022-02-02 22:06:46,-5.6667,132.75,82.87,73,100,8.5
124,Ribeira Grande,PT,2022-02-02 22:06:47,38.5167,-28.7,59.7,74,8,9.42
125,Tuktoyaktuk,CA,2022-02-02 22:05:07,69.4541,-133.0374,-18.94,98,100,9.86
126,Geraldton,AU,2022-02-02 22:06:47,-28.7667,114.6,84.61,17,0,19.57
127,Cidreira,BR,2022-02-02 22:06:24,-30.1811,-50.2056,75.97,84,0,17.74
128,Mar Del Plata,AR,2022-02-02 22:04:59,-38.0023,-57.5575,82.09,61,0,6.91
129,Laguna,US,2022-02-02 22:06:47,38.421,-121.4238,62.47,28,0,11.01
130,Saint-Pierre,RE,2022-02-02 22:06:47,-21.3393,55.4781,80.28,89,75,37.98
131,San Rafael Del Sur,NI,2022-02-02 22:06:48,11.8485,-86.4384,89.47,40,3,14.05
132,Villa Sandino,NI,2022-02-02 22:06:48,12.0483,-84.9936,85.33,39,29,14.12
133,Togul,RU,2022-02-02 22:06:48,53.465,85.9128,-4.79,100,87,1.66
134,Banjarmasin,ID,2022-02-02 22:06:49,-3.3244,114.591,75.34,94,77,0.94
135,College,US,2022-02-02 22:06:46,64.8569,-147.8028,-4.41,76,20,0.0
136,Husavik,IS,2022-02-02 22:06:49,66.0449,-17.3389,20.64,91,99,5.86
137,Kapaa,US,2022-02-02 22:07:49,22.0752,-159.319,80.58,66,0,1.01
138,Usolye,RU,2022-02-02 22:07:49,59.4268,56.6808,25.21,95,100,8.28
139,New Norfolk,AU,2022-02-02 22:03:52,-42.7826,147.0587,61.66,57,68,4.21
140,Korgen,NO,2022-02-02 22:07:50,66.0771,13.8153,19.11,87,100,7.2
141,Meulaboh,ID,2022-02-02 22:03:23,4.1363,96.1285,76.08,85,71,3.15
142,Taoudenni,ML,2022-02-02 22:07:50,22.6783,-3.9836,67.33,18,7,14.76
143,Hasaki,JP,2022-02-02 22:07:43,35.7333,140.8333,25.2,50,36,10.02
144,Praia,CV,2022-02-02 22:07:50,14.9215,-23.5087,72.14,68,3,20.71
145,Santo Antonio Do Ica,BR,2022-02-02 22:07:51,-3.1022,-67.9397,76.23,95,98,2.06
146,Chokurdakh,RU,2022-02-02 22:07:51,70.6333,147.9167,-19.59,97,100,6.93
147,Hobyo,SO,2022-02-02 22:06:15,5.3505,48.5268,77.85,74,92,19.62
148,Narsaq,GL,2022-02-02 22:07:51,60.9167,-46.05,3.42,66,56,7.92
149,Port Elizabeth,ZA,2022-02-02 22:07:51,-33.918,25.5701,72.1,93,100,11.54
150,Rosarito,MX,2022-02-02 22:07:52,32.3333,-117.0333,69.21,32,0,2.21
151,Pangnirtung,CA,2022-02-02 22:07:52,66.1451,-65.7125,6.8,72,100,21.85
152,Teguldet,RU,2022-02-02 22:07:52,57.3064,88.1667,3.74,99,96,3.2
153,Mahebourg,MU,2022-02-02 22:07:53,-20.4081,57.7,79.25,90,100,32.03
154,Fort Nelson,CA,2022-02-02 22:07:53,58.8053,-122.7002,-2.15,87,100,6.98
155,Orocue,CO,2022-02-02 22:07:53,4.7912,-71.3354,97.57,23,65,6.11
156,Samarai,PG,2022-02-02 22:07:53,-10.6167,150.6667,80.47,79,98,6.58
157,Abu Samrah,SY,2022-02-02 22:07:54,35.3029,37.1841,48.63,56,93,10.89
158,Poum,NC,2022-02-02 22:04:44,-20.2333,164.0167,79.95,76,0,6.82
159,Magadan,RU,2022-02-02 22:07:54,59.5667,150.8,12.38,80,100,8.77
160,Belawan,ID,2022-02-02 22:07:54,3.7755,98.6832,78.35,92,100,3.51
161,Puerto Ayacucho,VE,2022-02-02 22:07:55,5.6639,-67.6236,78.22,76,89,9.19
162,Pevek,RU,2022-02-02 22:06:25,69.7008,170.3133,-8.43,76,30,4.92
163,Pietarsaari,FI,2022-02-02 22:07:55,63.65,22.6833,10.99,96,97,4.12
164,Hambantota,LK,2022-02-02 22:07:47,6.1241,81.1185,71.94,100,20,0.0
165,Abu Dhabi,AE,2022-02-02 22:07:16,24.4667,54.3667,67.96,66,40,2.3
166,Mount Gambier,AU,2022-02-02 22:07:43,-37.8333,140.7667,58.59,63,100,9.33
167,High Level,CA,2022-02-02 22:07:55,58.5169,-117.136,-9.18,92,97,4.47
168,Saskylakh,RU,2022-02-02 22:07:56,71.9167,114.0833,-30.41,100,28,2.59
169,Muros,ES,2022-02-02 22:06:50,42.7762,-9.0603,55.24,82,100,7.81
170,Vestmanna,FO,2022-02-02 22:07:56,62.1564,-7.1664,38.32,93,75,9.22
171,Girvan,GB,2022-02-02 22:07:56,55.2426,-4.8555,49.51,94,100,12.84
172,Thompson,CA,2022-02-02 22:04:56,55.7435,-97.8558,-7.06,80,45,12.57
173,Palauig,PH,2022-02-02 22:07:57,15.435,119.9045,76.5,69,16,3.94
174,Ahipara,NZ,2022-02-02 22:07:43,-35.1667,173.1667,74.41,71,100,13.06
175,Yulara,AU,2022-02-02 22:07:57,-25.2406,130.9889,65.3,68,100,17.36
176,Henties Bay,NA,2022-02-02 22:06:38,-22.116,14.2845,68.86,81,78,5.23
177,Mezen,RU,2022-02-02 22:07:57,65.8522,44.24,8.92,97,98,4.12
178,Astara,AZ,2022-02-02 22:07:57,38.5,48.6667,34.5,45,0,10.47
179,Bacolod,PH,2022-02-02 22:07:58,10.6667,122.95,75.22,87,97,9.15
180,Bengkulu,ID,2022-02-02 22:07:58,-3.8004,102.2655,76.28,88,97,4.34
181,Gat,IL,2022-02-02 22:05:04,31.61,34.7642,59.4,55,98,4.45
182,Suntar,RU,2022-02-02 22:08:58,62.1444,117.6319,-27.9,99,26,3.51
183,Aykhal,RU,2022-02-02 22:08:59,66.0,111.5,-21.23,100,5,3.11
184,Luderitz,NA,2022-02-02 22:06:12,-26.6481,15.1594,68.27,78,68,1.77
185,Vila Velha,BR,2022-02-02 22:08:59,-20.3297,-40.2925,80.55,82,0,4.61
186,Lumberton,US,2022-02-02 22:08:59,34.6182,-79.0086,64.26,75,69,6.62
187,Korla,CN,2022-02-02 22:08:59,41.7597,86.1469,23.05,57,11,6.98
188,Portland,US,2022-02-02 22:04:57,45.5234,-122.6762,46.81,92,100,1.99
189,Necochea,AR,2022-02-02 22:09:00,-38.5473,-58.7368,84.02,49,100,11.23
190,Brae,GB,2022-02-02 22:09:00,60.3964,-1.353,46.31,90,100,9.08
191,Gulbene,LV,2022-02-02 22:09:00,57.1777,26.7529,23.22,96,100,1.14
192,Nuuk,GL,2022-02-02 22:09:01,64.1835,-51.7216,11.01,52,75,9.22
193,Goundam,ML,2022-02-02 22:09:01,16.4145,-3.6708,67.98,13,32,10.65
194,Rockland,US,2022-02-02 22:09:01,41.1668,-74.0496,43.68,100,100,0.27
195,Koslan,RU,2022-02-02 22:09:01,63.4564,48.8989,19.02,97,100,3.83
196,Ponta Delgada,PT,2022-02-02 22:09:02,37.7333,-25.6667,58.5,77,20,8.05
197,Emerald,AU,2022-02-02 22:09:02,-23.5333,148.1667,74.34,94,100,9.17
198,Skelleftea,SE,2022-02-02 22:09:02,64.7507,20.9528,10.76,66,100,5.75
